% Model:              Liquid-sperm.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jan 19 2024, 12:31
% Dimension:          2
% Nodes:              1154
% Expressions:        2
% Description:        Velocity field, x-component, Velocity field, y-component
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)
1.9999999999999998E-4     6.413328039369332E-5     0.05785102844116705      0.01903354675628964
1.921562951811542E-4      6.122810588549984E-5     0.06781652267436705      0.0021999352708485277
2.0E-4                    5.744310463074645E-5     0.0867570041303624       0.02157458726503982
1.9143486194370243E-4     5.15690947401267E-5      0.11065808818722699      0.0028185023199185874
2.0E-4                    4.683010168844259E-5     0.1278965784594514       0.019303031252735674
1.9052126680897818E-4     3.8098463924156815E-5    0.1561330864697055       0.0017905907227926696
2.0E-4                    3.090413066207195E-5     0.17361255709617038      0.012352584692291132
1.8994348787707932E-4     2.1310734707402397E-5    0.1937262202681214       7.922033000401127E-4
1.9999999999999998E-4     1.5075123208622914E-5    0.20166673090353207      0.005815445957933772
1.8967514594424575E-4     6.556866266657845E-6     0.2093653726498085       1.538031142538619E-4
2.0E-4                    -1.3552527156068805E-20  0.21069265474838136      4.153226946010854E-5
1.8957677847587665E-4     -6.5304175447645915E-6   0.20952685957106473      -1.346403515541524E-4
2.0E-4                    -1.4944389825392813E-5   0.20202490193055297      -0.0057511829437679705
1.895202420785353E-4      -2.1152905924097E-5      0.19422522387710628      -6.798124210651567E-4
2.0E-4                    -3.0637752733119554E-5   0.17438975899887232      -0.012373143651071984
1.8998924394659884E-4     -3.81958598271773E-5     0.15578263666923872      -0.0013895687749549271
2.0000000000000004E-4     -4.805355152819197E-5    0.12371830063107118      -0.019732521190063797
1.9054890048358718E-4     -5.138491347711327E-5    0.11139918777525175      -0.0019359533173733685
2.0000000000000004E-4     -5.715696877025009E-5    0.08793660172707374      -0.021173241324637115
2.0E-4                    -6.356819048631284E-5    0.060483402064084944     -0.019175549547161046
1.9068967799512482E-4     -6.079225621810063E-5    0.06967420854122137      -5.427518427274677E-4
2.0E-4                    -6.863331443937789E-5    0.03771952898748954      -0.013915972381841077
1.9337809399122227E-4     -6.701248863006915E-5    0.03883636362682282      -0.0019901318378770898
1.9485066660443836E-4     -7.028003612323079E-5    0.022389788799325343     -0.0020906604004895996
2.0E-4                    -7.2154500030148E-5      0.02069447603910129      -0.005930318659936551
-1.916928521146959E-4     -7.013144528516675E-5    0.12679772685237609      0.035185726399487326
-1.9333333333333336E-4    -7.221120784031401E-5    0.10957960082552116      0.030243139594481227
-1.8666666666666671E-4    -7.212490176683346E-5    0.06399210821987211      0.0050925489588860414
-1.9333333333333336E-4    7.211198863294091E-5     0.11386408222622194      -0.030842057274471348
-1.8757859655699956E-4    6.985159187091928E-5     0.10941121913324726      -0.023168507742853426
-1.8666666666666666E-4    7.200915176625796E-5     0.06675150898849963      -0.006221651306867667
-1.858454079457601E-4     -7.059802422428723E-5    0.08751472847441476      0.01076127869530817
-1.7999999999999996E-4    -7.203582717769296E-5    0.047075236634498314     0.0029540793525332115
-1.8631438289768644E-4    -6.805367129577168E-5    0.12209532823356424      0.025668589864191127
-1.7947233041552506E-4    -6.988299916283304E-5    0.075237644649721        0.007909458707198879
-1.733333333333333E-4     -7.19601967379298E-5     0.03819364090554596      0.0018095099957078288
-1.8202547847537823E-4    6.967496866732624E-5     0.08577879246896941      -0.010574860670286797
-1.8E-4                   7.191940180014382E-5     0.04872819535110616      -0.003286779503501499
-1.863310238747123E-4     6.763145843471085E-5     0.12483007480500911      -0.028397282570273786
-1.7415836421654304E-4    6.945920714206549E-5     0.06822007246344437      -0.005806431502138157
-1.7333333333333336E-4    7.185483587749861E-5     0.03935839879643894      -0.00207595761125354
-1.7275871480747917E-4    -6.983485019792168E-5    0.06191110628877166      0.004650744768592035
-1.6666666666666666E-4    -7.189839216853844E-5    0.033144259879839696     0.001022939967882453
-1.806841108281691E-4     -6.742096247194595E-5    0.10697833986951157      0.016609036965097874
-1.8537153121704454E-4    -6.377392355077806E-5    0.14538424206585188      0.03603883165489729
-1.7406019933546247E-4    -6.73981157737332E-5     0.08932576862576369      0.010443447371648174
-1.6788584188068165E-4    6.981341785945536E-5     0.05528602436070614      -0.0032578581252975546
-1.666666666666667E-4     7.181033160248465E-5     0.033962249816419494     -0.001180801872417851
-1.6133539343017497E-4    6.951160032685731E-5     0.05139958851357309      -0.002426231255491271
-1.6E-4                   7.17795642527452E-5      0.030213274338966582     -8.584064518740132E-4
-1.8575514001793007E-4    6.424646150727163E-5     0.14407821255110242      -0.036899426130352735
-1.7984732871445994E-4    6.649786895834054E-5     0.11243022164702003      -0.01762426087396068
-1.726514512082198E-4     6.611971630082076E-5     0.09740779312748037      -0.012021182045783313
-1.658908073566784E-4     -6.978589328170865E-5    0.05343785731273213      0.0029081411071565765
-1.6E-4                   -7.184804007293047E-5    0.029601658431055437     8.596264712308326E-4
-1.6804843723289305E-4    -6.63038092172865E-5     0.08765654869642697      0.008459835728456199
-1.5931110705907252E-4    -7.004482097708889E-5    0.0451752070840554       0.002009625180297578
-1.533333333333333E-4     -7.181135790036647E-5    0.027042430741965096     5.655996611235688E-4
-1.773700521748746E-4     -6.197884493524867E-5    0.13640087934787634      0.027126768278294355
-1.8274008740747387E-4    -5.601788156354788E-5    0.156027685061334        0.03839117204961642
-1.7066237543798078E-4    -6.264286589956063E-5    0.1194341982545479       0.01670168099963125
-1.5456363307015996E-4    6.945306020550282E-5     0.046986972631574815     -0.0017837508250371163
-1.5333333333333334E-4    7.175427469836074E-5     0.02769340453133181      -6.122101671433908E-4
-1.6657538830501485E-4    6.667872362407161E-5     0.08208141958683078      -0.0069989759912125514
-1.5972701436550648E-4    6.667119319120651E-5     0.07321731715395428      -0.0050348341365004596
-1.8353730463906972E-4    5.588153852009427E-5     0.15605701959712637      -0.03940411615511596
-1.772024260942325E-4     6.0965907490596E-5       0.13992604325807956      -0.028226574574438428
-1.6953033688467859E-4    6.134526518261228E-5     0.125208468420114        -0.01864305331516171
-1.475877386708649E-4     6.933991871213554E-5     0.04399612141938422      -0.0014491762481676758
-1.4666666666666666E-4    7.173076733852427E-5     0.02569812932654906      -5.151483521677267E-4
-1.4085603466411557E-4    6.937935587803123E-5     0.04075336945121364      -0.0011414441943455955
-1.4000000000000004E-4    7.171155725290324E-5     0.02409417932774085      -4.1209019247512963E-4
-1.6097179578135147E-4    -6.634148922130487E-5    0.07702730408224613      0.0059934960684489835
-1.6397862605835572E-4    -6.176523107044357E-5    0.11315415551703893      0.01399838083853854
-1.533686246765978E-4     -6.688873462534808E-5    0.06558504614111342      0.003486181055445772
-1.5248876731132824E-4    -6.962188495862497E-5    0.04428344863729622      0.0015240509641828671
-1.4666666666666666E-4    -7.178343770951394E-5    0.025284019494883327     4.0560274920342263E-4
-1.8008607371273517E-4    -4.4873805084847776E-5   0.15676817098913373      0.03265491351793116
-1.7075179296594892E-4    -5.422452168388561E-5    0.15423169072246531      0.030207312296571448
-1.795534505189778E-4     -2.8643160735309824E-5   0.14990755289882277      0.018106380729958533
-1.7919413755624562E-4    -1.3364543481547995E-5   0.14642580174550554      0.007448219605133977
-1.5288620706143394E-4    6.646582745618244E-5     0.0683879144458235       -0.0037676466197224807
-1.7915658566262135E-4    -6.89561070063282E-8     0.1456419228364738       1.0219228361056059E-4
-1.79330461146442E-4      1.3293812999263285E-5    0.14643651723272022      -0.007216434400747388
-1.7988162577101127E-4    2.8547401469717225E-5    0.1496297943849713       -0.017558233768433646
-1.8154974841369588E-4    4.415117212307053E-5     0.15497635580355149      -0.031119674671737537
-1.6230141392065955E-4    6.155926371411711E-5     0.11179095127265874      -0.012789486961746891
-1.5651180022009968E-4    6.252803994978206E-5     0.09850631276315396      -0.008784773210833416
-1.7283716683169374E-4    5.1774177733668274E-5    0.15892235409388003      -0.033572701319684255
-1.6473948701861913E-4    5.548912580948625E-5     0.14166023955842205      -0.02225764723988334
-1.3423123284266597E-4    6.917123489762156E-5     0.03994341452121774      -8.313165820986464E-4
-1.3333333333333337E-4    7.169409136475878E-5     0.022906961599032234     -2.6713995115531977E-4
-1.4647472917380888E-4    6.620997649135573E-5     0.06523901426104374      -0.0032368281693404724
-1.395375396970443E-4     6.609610755252392E-5     0.06181336156009206      -0.0025743325536096164
-1.5614709616331248E-4    -6.178699728479146E-5    0.10266943700516941      0.009394894267012406
-1.591060452573018E-4     -5.509344842987508E-5    0.13892967462895658      0.018210318308798035
-1.498169506709815E-4     -6.282905164611938E-5    0.08991098424495286      0.006249805213830037
-1.4647102829758906E-4    -6.673518956104507E-5    0.061939689256476645     0.002636105810177107
-1.4564117482713612E-4    -6.97362272852618E-5     0.04028532122827474      0.001050868345117436
-1.3999999999999996E-4    -7.175758075734927E-5    0.024000567534832228     3.3179340902025087E-4
-1.3902341366503254E-4    -6.966551438166433E-5    0.038475685695699625     8.703554202121928E-4
-1.3333333333333337E-4    -7.173665733727152E-5    0.02288563326213582      3.033035595490966E-4
-1.6954865029348114E-4    -3.9753682369610995E-5   0.16210790074745038      0.029087290061058858
-1.6051337675926296E-4    -4.628199170318266E-5    0.16054304940537092      0.026805444321894616
-1.6852402764011836E-4    -2.1979068475797766E-5   0.15621044612008272      0.01628806850853967
-1.6854898749930563E-4    -6.956056510760352E-6    0.152645031527368        0.004954884569930555
-1.5038691429879883E-4    6.099056520297318E-5     0.10058822813014538      -0.008397780885276785
-1.686179531714655E-4     6.623165630060265E-6     0.15256954560581548      -0.004638198393614631
-1.688344227104751E-4     2.1323299778627854E-5    0.15595623522069932      -0.015645984890688372
-1.7074894207135712E-4    3.790430872805837E-5     0.16117007449864482      -0.028482701739964086
-1.5634302446470173E-4    5.500928715391065E-5     0.1353109497830249       -0.017434433742224167
-1.6251853012741352E-4    4.64129990364195E-5      0.1611272914411612       -0.02780754157900078
-1.2895049558458389E-4    6.898627751711376E-5     0.03979911393412485      -6.677334404039496E-4
-1.266666666666667E-4     7.167722676959366E-5     0.022168292048837794     -2.0925897950435074E-4
-1.211505508576271E-4     6.968769221734075E-5     0.03391943860203251      -4.7357174892182977E-4
-1.2000000000000002E-4    7.166549548985928E-5     0.021484779385040332     -1.856254406669341E-4
-1.3273124098835796E-4    6.548978524740648E-5     0.06252137168671036      -0.0019903322081816616
-1.4267769164043664E-4    6.057638846177309E-5     0.0964186507154331       -0.006669971412069487
-1.3649880618582692E-4    6.163608067725415E-5     0.08663096074989873      -0.004470008336745233
-1.5353300556745695E-4    -5.00873011935386E-5     0.14891895525047022      0.019959010118546647
-1.4971237402947377E-4    -5.641464764340853E-5    0.12375189545310153      0.012307918318492638
-1.4334994849968277E-4    -6.18031554591015E-5     0.09064712922155678      0.005475702587921557
-1.3982830307401536E-4    -6.659083977087835E-5    0.05934685919404257      0.0021082341469101274
-1.336754044480841E-4     -6.686615878488282E-5    0.05489395875485128      0.0017357276812267708
-1.3239510315272285E-4    -6.962921469291202E-5    0.03677857203170273      7.577151562812172E-4
-1.2666666666666666E-4    -7.172313266925886E-5    0.02195285726837348      2.1218136121595234E-4
-1.5254969585587174E-4    -4.1662585673408766E-5   0.16359392214703813      0.023291143954539444
-1.5698840057772162E-4    -3.080040547962083E-5    0.16729409560081104      0.02282559015796909
-1.5780031865856743E-4    -1.4162100424840814E-5   0.16224745526719628      0.01096253669739909
-1.5785548476363875E-4    -3.008152552035675E-7    0.1601890008902462       2.237861370680818E-4
-1.4658411352990697E-4    5.389838396249093E-5     0.13074542870460734      -0.013090464892274748
-1.5797576988415535E-4    1.3473248774199697E-5    0.16194346713049027      -0.010439890681013989
-1.5785868642292475E-4    3.0441569547146274E-5    0.16767149561124586      -0.022957607715497173
-1.5132551956462475E-4    4.391770515676489E-5     0.16148785397263968      -0.02182173243798974
-1.1416207791414346E-4    6.908014034864657E-5     0.03653796885820743      -3.9779144691062736E-4
-1.1333333333333337E-4    7.165700704615997E-5     0.020924369504467025     -1.3092164030123124E-4
