x;y;z;Shear rate
-0.001083497564059705;-1.2467425834962559E-5;5.0E-5;2.1695457931004327
-0.001106487340915451;-1.3269174763455719E-5;5.0E-5;3.226438404812187
-0.0011069466684775376;-1.1998628608963462E-5;5.0E-5;3.64009241686061
-0.0011092457417708735;-1.0938589482136189E-5;5.0E-5;3.6356903660641144
-0.0011112029393478707;-2.977685070064463E-15;5.0E-5;2.5882147918553677
-0.001107598688845751;-1.3343019336960238E-5;5.0E-5;5.236935527734408
-0.0011173499677969373;-2.9970668560132246E-15;5.0E-5;2.6705826642455257
-0.0010037233800139398;-2.4999999999967594E-4;4.999999999999999E-5;14.288262567323734
-0.0010046729009998302;-2.202029168636625E-4;5.0E-5;12.64348171097873
-0.00100372338001394;-2.1924686106636042E-4;5.0E-5;10.744997147906945
-0.0010147469884878686;-2.3140291312382104E-4;5.0E-5;13.56399254630405
-0.0010128571953729217;-2.499999999996484E-4;4.9999999999999975E-5;14.97365262802767
-0.0010040455983927796;-2.190022457851572E-4;5.0E-5;7.6703604866994155
-0.00100372338001394;-2.1905107428851203E-4;4.9999999999999996E-5;7.544156601582639
-0.0010056941484136073;-2.0580260659677842E-4;5.000000000000001E-5;6.448010988642583
-0.0010151864364031284;-2.1228768564285892E-4;4.9999999999999996E-5;7.185759517500084
-0.0010045558959882815;-2.1929599156240452E-4;5.0E-5;9.474242022070092
-0.0011210322212635519;-1.3543334081942343E-5;5.0E-5;3.620367770146199
-0.0011306885020277045;-3.039123699815568E-15;5.0E-5;1.4103541934433694
-0.0011219557650606502;-3.011589088572963E-15;5.0E-5;1.9954041502672946
-0.0011209085044418265;-1.357967456035626E-5;5.0E-5;4.488381167839156
-0.0011199282940310034;-1.3671426050699932E-5;5.0E-5;3.571529468169874
-0.0011209314651464024;-1.3663950585336827E-5;5.0E-5;5.791130834822131
-0.0010219910107319033;-2.499999999996207E-4;4.999999999999999E-5;15.096143477932594
-0.0010236891589625434;-2.3169446143249641E-4;4.9999999999999996E-5;13.464679010854349
-0.0011212835705688231;-1.3639286908058757E-5;5.0E-5;3.462997023128714
-0.0011338631552456628;-8.134380796754686E-6;5.000000000000001E-5;2.1069994667615903
-0.0011393184616764892;-3.066334250741941E-15;5.0E-5;1.3423376147371568
-0.001141145124638349;-3.1398800762443287E-6;5.0E-5;1.0300560272883603
-0.0011425186476395131;-3.0764245439373424E-15;5.0E-5;1.6319900994647132
-0.001136744992600114;-1.2445827541377177E-5;5.000000000000001E-5;2.387513209589204
-0.0010311248260908852;-2.4999999999959294E-4;4.999999999999999E-5;15.217658776441516
-0.0010338526235967194;-2.3231923788318592E-4;4.9999999999999996E-5;13.763216654637395
-0.0010402586414498675;-2.4999999999956524E-4;4.9999999999999996E-5;15.314207555945766
-0.0010350159993776592;-2.3221161489741298E-4;5.0E-5;13.830895033400902
-0.0011483623774557407;-3.783338466256784E-6;5.0E-5;1.2086515439915917
-0.0011543270025051438;-5.507362283697699E-6;5.000000000000001E-5;1.5920536096686018
-0.001151500054320933;-3.1047432190924055E-15;5.0E-5;1.7206904149241797
-0.0011572981094038796;-3.1230246803655948E-15;5.0E-5;1.447645145371094
-0.0011521280726016353;-8.255888015504698E-6;5.000000000000001E-5;1.5949251273758607
-0.001166221333173816;-3.151159902858028E-15;5.0E-5;1.3106550686400815
-0.0011586786818261635;-4.886044219140163E-6;5.000000000000001E-5;1.558436961901078
-0.0011548365786156899;-7.744791197139115E-6;5.0E-5;1.9421484744960311
-0.0011677382116298668;-1.1310147041792679E-5;5.0E-5;2.2290138268826207
-0.0011704043640566996;-3.164349138902871E-15;5.0E-5;1.3510872683593738
-0.0011673632589921103;-1.1267527996921601E-5;5.0E-5;2.2177388537295606
-0.0011675788859699015;-1.1672851458253394E-5;5.0E-5;3.519410038575962
-0.0011658614296016492;-1.102677762216657E-5;5.0E-5;1.8988525081041225
-0.0010493924568088493;-2.4999999999953754E-4;4.9999999999999996E-5;15.357366235594808
-0.0010480306020844029;-2.3133020324632832E-4;5.000000000000001E-5;14.278417058406172
-0.0010585262721678312;-2.499999999995099E-4;4.9999999999999996E-5;15.175157164653324
-0.001180014096471349;-3.1946489460745596E-15;5.0E-5;1.64173408541182
-0.00118149627897462;-3.3063383233682334E-6;5.0E-5;1.7872474699085334
-0.0011680708642531875;-1.1615521885103109E-5;5.0E-5;2.3928502996034173
-0.0011830595044431949;-3.2042512190957514E-15;4.9999999999999996E-5;2.0273902149553056
-0.001067660087526813;-2.4999999999948214E-4;4.9999999999999996E-5;15.377507445445225
-0.0010640821943538028;-2.2946024332058063E-4;5.0E-5;12.708914672366953
-0.0011923346979740353;-2.155315233724036E-6;5.0E-5;2.1160743368877815
-0.0011940502657160532;-3.2389054563698314E-15;5.0E-5;2.369778080973419
-0.001188115797520431;-9.256640664628192E-6;5.0E-5;2.1372305534548346
-0.0011947142997605826;-1.4090228614545903E-6;5.0E-5;3.2002798586690475
-0.001195859296194591;-3.244609389872063E-15;5.0E-5;2.3573169258702102
-0.001076793902885795;-2.4999999999945443E-4;4.9999999999999996E-5;15.727347480414295
-0.001085927718244777;-2.499999999994268E-4;4.9999999999999996E-5;15.631891690015912
-0.0010811392029672806;-2.3423442554532862E-4;5.000000000000001E-5;13.985524353207031
-0.0010950615336037589;-2.499999999993991E-4;4.9999999999999996E-5;15.435420929866233
-0.0010860430763573584;-2.3445501085065526E-4;5.0E-5;14.916903475203913
-0.0012000113468901698;-1.4293927533822894E-5;5.0E-5;3.8489889892197318
-0.0012004972466397794;-1.338123835457294E-5;5.0E-5;2.6218001824283754
-0.001207853077275815;-3.2824261820926814E-15;5.0E-5;2.02456030256054
-0.0012132651013360479;-1.000889248877927E-5;5.0E-5;2.684245676741126
-0.0012123461676566845;-3.29659304608754E-15;5.0E-5;2.885463311517059
-0.0012141205673347588;-1.0166300861576541E-5;5.0E-5;3.394115230422605
-0.0012137610318626855;-1.091620180152999E-5;5.0E-5;3.5543345187787394
-0.0012144349817297237;-1.0865110756148329E-5;5.0E-5;4.256980060540177
-0.0012154643297915427;-9.298369456591946E-6;5.0E-5;2.799513551834268
-0.001218520074302018;-3.3160595798865915E-15;5.0E-5;2.109099263560523
-0.001225764399844648;-3.3389011802100315E-15;5.0E-5;0.9735171819829519
-0.0011041953489627407;-2.4999999999937133E-4;4.9999999999999996E-5;15.2140326747865
-0.0011010318701214987;-2.2817561920119764E-4;5.0E-5;13.95905688239879
-0.0011133291643217228;-2.4999999999934363E-4;4.9999999999999996E-5;14.997028285360539
-0.0011016015366575212;-2.2793321048594702E-4;5.0E-5;12.784121192686264
-0.001228152046885281;-1.0163874268803876E-5;5.000000000000001E-5;2.3360659669827823
-0.001232568585122193;-3.360355003581406E-15;5.0E-5;1.087594419925887
-0.001216584916130805;-1.1482208275126676E-5;5.0E-5;3.283139355751574
-0.0012363830890403265;-4.817883114896779E-6;5.0E-5;1.391097914342105
-0.001238082628265389;-3.3777409657254217E-15;5.0E-5;1.5288748850972038
-0.0012302667522691379;-1.3758973372123565E-5;5.000000000000001E-5;2.445874781148678
-0.0012480551118340991;-1.1242607039374523E-6;5.000000000000001E-5;3.2624307067445066
-0.0012497060144022656;-3.4143898903190515E-15;5.0E-5;2.6985329864498637
-0.0012465437543989284;-3.4044191789408875E-15;5.0E-5;2.909367136817824
-0.0011224629796807047;-2.4999999999931593E-4;4.9999999999999996E-5;14.8288224265193
-0.0011186306033813718;-2.2699934693809894E-4;4.9999999999999996E-5;12.904773048390291
-0.0011315967950396865;-2.499999999992882E-4;4.9999999999999996E-5;14.970935590557724
-0.0011252643078149577;-2.2805625623528378E-4;4.9999999999999996E-5;12.557832727948494
-0.00124410818953561;-1.3073525970407216E-5;5.0E-5;2.7291431771305774
-0.0012434896800751095;-1.4854306353076418E-5;5.0E-5;2.608769921660993
-0.0012451668682595346;-1.4891888800684076E-5;5.0E-5;3.4922503310524124
-0.0012600010718272327;-5.379891365108452E-6;5.000000000000001E-5;1.334733693300505
-0.0012581946619412026;-3.4411548794446737E-15;5.0E-5;1.7182201945725342
-0.001255377129837744;-5.596922976751143E-6;4.9999999999999996E-5;2.516619678188959
-0.0012652223341321498;-3.463313364516217E-15;5.0E-5;1.1146498445813557
-0.0012538049210787322;-8.247733050354361E-6;5.0E-5;3.5063025618014834
-0.0012560864819959718;-1.0693994460388424E-5;4.9999999999999996E-5;2.129508246952045
-0.0012685941397804776;-5.2862767594867904E-6;5.0E-5;1.3559398050880518
-0.001271791123925314;-3.4840249780655E-15;5.0E-5;0.92286420347582
-0.0011407306103986684;-2.499999999992605E-4;4.9999999999999996E-5;15.057652949561154
-0.0011406567710571635;-2.2959562182868574E-4;5.0E-5;12.876441135867664
-0.0011498644257576505;-2.4999999999923277E-4;4.9999999999999996E-5;14.783681572537162
-0.0012722280393089608;-1.1009354246128554E-5;5.0E-5;1.3716101888014824
-0.0012756468129257246;-5.685389002463349E-6;5.0E-5;1.5648819387696267
-0.0012808796643625294;-3.5126814495297756E-15;5.0E-5;2.051235504979372
-0.0012852601393721242;-3.526493233498785E-15;5.0E-5;2.410622043542182
-0.0012898855711869675;-1.2048545970413226E-5;5.0E-5;1.9301329902014217
-0.0012908587041503827;-9.479025535870998E-6;5.0E-5;2.509024574939178
-0.0012841462564906732;-5.002490223834433E-6;4.9999999999999996E-5;1.9805304705985878
-0.001276998995304913;-1.6015968679988963E-5;5.0E-5;2.2483209508142608
-0.0012789304526633584;-1.3130604961063728E-5;4.9999999999999996E-5;2.1252369412589656
-0.001292172921925754;-3.5482894677077106E-15;5.0E-5;2.6090892593998465
-0.0012944820333105878;-7.899692267256501E-6;4.9999999999999996E-5;2.4988391973825106
-0.001299424419389412;-3.571153681337622E-15;4.9999999999999996E-5;2.1571057276622994
-0.0012932399023886753;-1.1693412455823308E-5;5.0E-5;2.250136610132209
-0.0013052476949476947;-8.718490929045783E-6;5.0E-5;2.140076551469952
-0.0013132719623188292;-3.614815446562573E-15;4.9999999999999996E-5;1.0822792398274734
-0.001304282585754434;-3.586471642100375E-15;5.0E-5;1.6382674685350649
-0.0013098212132528569;-9.304464555984944E-6;5.0E-5;2.030014196251985
-0.0011589982411166324;-2.4999999999920507E-4;4.9999999999999996E-5;14.753351412992297
-0.0011681320564756144;-2.499999999991774E-4;4.9999999999999996E-5;15.120613524731041
-0.001164930378449195;-2.306772236276915E-4;5.000000000000001E-5;14.34215022477124
-0.0011589828181221863;-2.2549572737412982E-4;5.0E-5;12.541167543117817
-0.0013088074393977362;-1.2654617906700608E-5;5.0E-5;2.703341920580559
-0.0013232112443628953;-1.116238657934151E-5;5.0E-5;1.8915079301997615
-0.0013264962221641642;-3.656511979412034E-15;5.0E-5;1.4580467434284363
-0.0013195176817414464;-3.6345084084462235E-15;5.000000000000001E-5;1.0667095531194632
-0.0013247289133746264;-1.1185937006385517E-5;5.0E-5;2.475760174287438
-0.0013234946346525277;-1.2592095985077597E-5;5.0E-5;2.9714509026247895
-0.0013335863848771266;-6.2346201427197646E-6;5.000000000000001E-5;2.627106659365559
-0.0013275861648623898;-1.1396510520806862E-5;5.0E-5;3.154801630703896
-0.0013364487682123107;-8.560001727094582E-6;5.0E-5;4.0061841039400266
-0.0013370728366743233;-6.243888373589747E-6;5.0E-5;3.1686607679486696
-0.0013335256806205778;-3.678676096638238E-15;5.0E-5;2.024829894023945
-0.0013400641692550893;-3.699292169622535E-15;4.9999999999999996E-5;3.078865617529027
-0.0011772658718345963;-2.499999999991497E-4;4.9999999999999996E-5;15.486904088743126
-0.001174749767797882;-2.3451216218390133E-4;5.0E-5;14.532173742707712
-0.0011863996871935784;-2.4999999999912196E-4;4.9999999999999996E-5;15.632288700362052
-0.0011828337143239731;-2.3646954742338904E-4;4.9999999999999996E-5;15.387943029329335
-0.0013439665546648523;-3.910581309922002E-6;5.0E-5;2.5384385416602417
-0.001349012466175499;-3.727506448595601E-15;4.9999999999999996E-5;2.885203585128034
-0.0013416325320503527;-1.3747108913880912E-5;5.000000000000001E-5;3.291360903146902
-0.0013505576735560246;-2.9830747884789974E-6;5.0E-5;2.878139254289565
-0.0013522579074175696;-3.7377394331969085E-15;5.000000000000001E-5;2.3685819971757147
-0.0011955335025525603;-2.499999999990943E-4;4.9999999999999996E-5;15.584889421736598
-0.0011902068384075364;-2.3601676275932394E-4;5.0E-5;14.624653084928623
-0.0013635706129068053;-7.831257772825724E-6;5.000000000000001E-5;2.2521287358166364
-0.0013668055361992027;-3.783608592489714E-15;5.0E-5;2.4057560747202085
-0.0013606337845288204;-3.764148853398638E-15;5.0E-5;2.06793070696979
-0.0013602092682621812;-1.3025861582428242E-5;5.0E-5;2.4850504980298505
-0.001354663366474826;-3.987091222509077E-6;5.0E-5;2.594850350365002
-0.0013754658486394426;-5.773577950902996E-6;5.0E-5;2.5936604491658777
-0.0013745488800766897;-3.808023614285146E-15;5.000000000000001E-5;2.760901104151287
-0.001378266448170266;-5.9757326861750195E-6;4.9999999999999996E-5;3.447948285912441
-0.0013818416090099293;-3.8310178321153645E-15;5.000000000000001E-5;3.9537238096815375
-0.0013769012116785638;-7.764272828017416E-6;5.000000000000001E-5;2.9408361847975106
-0.0012046673179115421;-2.499999999990666E-4;4.9999999999999996E-5;15.452250546594495
-0.0012050421215419776;-2.3012602466329955E-4;5.0E-5;14.06153194219128
-0.0012138011332705238;-2.499999999990389E-4;4.9999999999999996E-5;15.5051134479281
-0.0012229349486295059;-2.4999999999901116E-4;4.9999999999999996E-5;15.527945310684652
-0.0012179146104884472;-2.3292461221902758E-4;4.9999999999999996E-5;13.989189665134054
-0.0013826810542893414;-4.9817276294023435E-6;5.000000000000001E-5;4.297763100416005
-0.0013908825141511682;-3.859524107900887E-15;5.0E-5;4.267356979217285
-0.0013930499932622866;-1.688543282091047E-6;5.000000000000001E-5;4.887769661771494
-0.0013946623668433162;-3.871442109648249E-15;5.0E-5;4.999881811979811
-0.0013786596156702895;-7.498101382932476E-6;5.0E-5;3.7837505884871883
-0.0013921961274374504;-7.40899024285509E-6;5.0E-5;4.643809531969782
-0.0012320687639884875;-2.4999999999898346E-4;4.9999999999999996E-5;15.509340711699837
-0.0012245609665518318;-2.327621636039781E-4;4.9999999999999996E-5;13.504853370304057
-0.0012412025793474696;-2.499999999989558E-4;4.9999999999999996E-5;15.19746660897976
-0.0012353041964059794;-2.3171781739846536E-4;5.0E-5;14.320476869984413
-0.001396571318412153;-4.748151803718209E-6;5.0E-5;4.776466898088197
-0.0014048615041849077;-6.803225760828597E-7;5.0E-5;5.19381659493719
-0.0014047459973449289;-3.903236133311559E-15;5.0E-5;5.1255597439446285
-0.0014051797823726661;-3.904603871988066E-15;5.0E-5;5.998746803994146
